individual	morph	sex	latitude	longitude	location	year
VB20001	bombylans	F	54.467403	-0.679353143	Fen Bog	2020
VB20002	bombylans	F	54.467403	-0.679353143	Fen Bog	2020
VB20003	plumata		M	54.467403	-0.679353143	Fen Bog	2020
VB20004	plumata		M	54.467403	-0.679353143	Fen Bog	2020
VB20005	plumata		M	54.467403	-0.679353143	Fen Bog	2020
VB20006	plumata		M	54.467403	-0.679353143	Fen Bog	2020
VB21001	bombylans	M	53.077355	-0.946892	Southwell	2021
VB21002	plumata		M	53.202804	-1.072372	Sherwood	2021
VB21003	plumata		F	53.205791	-1.165686	Warsop	2021
VB21004	plumata		M	53.2053134	-1.1683635	Warsop	2021
VB21005	plumata		M	53.204676	-1.16862	Warsop	2021
VB21006	plumata		F	53.2049739	-1.1684769	Warsop	2021
VB21007	bombylans	M	53.204744	-1.168439	Warsop	2021
VB21008	plumata		F	53.207083	-1.167764	Warsop	2021
VB21009	recombinant	M	53.079773	-0.941465	Southwell	2021
VB21010	plumata		M	53.0797765	-0.9419475	Southwell	2021
VB21011	plumata		M	53.0797765	-0.9419475	Southwell	2021
VB21012	plumata		M	53.0796929	-0.9416622	Southwell	2021
VB21013	plumata		M	53.0797765	-0.9419475	Southwell	2021
VB21014	plumata		M	53.2047158	-1.1691541	Warsop	2021
VB21015	plumata		F	53.2056643	-1.1685221	Warsop	2021
VB21016	plumata		M	53.2041867	-1.1692671	Warsop	2021
VB21017	plumata		M	53.2049261	-1.1682978	Warsop	2021
VB21018	plumata		M	53.2050592	-1.1673299	Warsop	2021
VB21019	plumata		M	53.080017	-0.941737	Southwell	2021
VB21020	plumata		F	52.9023157	-1.2060955	Clifton	2021
VB21021	plumata		M	53.079992	-0.941741	Southwell	2021
VB21022	bombylans	M	53.204259	-1.169201	Warsop	2021
VB21023	plumata		M	53.2049707	-1.1683964	Warsop	2021
VB21024	plumata		M	53.2047967	-1.1686244	Warsop	2021
VB21025	plumata		F	53.2044921	-1.1671354	Warsop	2021
VB21026	bombylans	M	52.9041705	-1.2573743	Attenborough	2021
VB21027	plumata		M	52.8978959	-1.2310478	Attenborough	2021
VB21028	bombylans	F	52.904341	-1.2566414	Attenborough	2021
VB21029	bombylans	M	52.910303	-1.202478	Clifton	2021
VB21030	plumata		M	53.3191118	-1.5818489	Sheffield	2021
VB21031	plumata		M	53.3191118	-1.5818489	Sheffield	2021
VB21032	plumata		M	53.3191118	-1.5818489	Sheffield	2021
VB21033	plumata		F	53.2525779	-1.8790711	Buxton	2021
VB21034	plumata		M	53.2743637	-1.9189080	Buxton	2021
VB21035	bombylans	M	53.2743779	-1.9190394	Buxton	2021
VB21036	plumata		F	53.2744707	-1.9188701	Buxton	2021
VB21037	plumata		F	53.2744707	-1.9188701	Buxton	2021
